City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Longyearbyen,SJ,2020-07-21 18:12:24,78.22,15.64,50.0,71,75,5.82
70,Hobart,AU,2020-07-21 18:12:24,-42.88,147.33,45.0,65,78,8.05
71,Gornopravdinsk,RU,2020-07-21 18:12:24,60.05,69.9,57.9,73,24,2.46
72,Georgetown,MY,2020-07-21 18:08:48,5.41,100.34,77.0,100,40,3.36
73,Launceston,AU,2020-07-21 18:12:24,-41.45,147.17,35.01,85,0,0.78
74,Rawson,AR,2020-07-21 18:12:24,-43.3,-65.1,44.37,74,100,20.78
75,Qaanaaq,GL,2020-07-21 18:07:39,77.48,-69.36,48.76,54,18,1.54
76,Lagoa,PT,2020-07-21 18:12:25,39.05,-27.98,69.26,73,0,4.65
77,Kavieng,PG,2020-07-21 18:12:25,-2.57,150.8,81.84,75,19,5.59
78,Byron Bay,AU,2020-07-21 18:12:25,-28.65,153.62,55.4,76,75,10.29
79,Avarua,CK,2020-07-21 18:12:25,-21.21,-159.78,73.4,94,99,27.51
80,Kobelyaky,UA,2020-07-21 18:12:26,49.15,34.2,70.07,63,58,6.6
81,Tuatapere,NZ,2020-07-21 18:12:26,-46.13,167.68,39.0,83,86,3.0
82,Severo-Yeniseyskiy,RU,2020-07-21 18:12:26,60.37,93.04,48.25,100,100,2.1
83,East London,ZA,2020-07-21 18:12:26,-33.02,27.91,64.47,64,0,8.08
84,Hofn,IS,2020-07-21 18:12:26,64.25,-15.21,52.79,77,100,16.82
85,Kapaa,US,2020-07-21 18:12:26,22.08,-159.32,80.6,78,75,12.75
86,Pisco,PE,2020-07-21 18:12:26,-13.7,-76.22,64.99,77,55,11.41
87,Butaritari,KI,2020-07-21 18:12:26,3.07,172.79,79.77,78,99,10.47
88,Erenhot,CN,2020-07-21 18:12:27,43.65,111.98,78.62,35,0,18.7
89,Puerto Madryn,AR,2020-07-21 18:09:29,-42.77,-65.04,45.18,76,98,22.26
90,Tsabong,BW,2020-07-21 18:12:27,-26.02,22.4,54.46,38,0,5.64
91,Hirara,JP,2020-07-21 18:12:27,24.8,125.28,84.18,82,66,9.62
92,Leh,IN,2020-07-21 18:10:13,34.17,77.58,54.07,50,76,8.1
93,Kilindoni,TZ,2020-07-21 18:10:28,-7.91,39.67,76.98,76,61,20.13
94,Kapit,MY,2020-07-21 18:12:27,2.02,112.93,75.43,95,89,1.3
95,Phan Thiet,VN,2020-07-21 18:12:28,10.93,108.1,78.19,83,39,3.02
96,Los Llanos De Aridane,ES,2020-07-21 18:12:28,28.66,-17.92,77.0,65,20,16.11
97,Salalah,OM,2020-07-21 18:12:28,17.02,54.09,80.6,94,75,6.93
98,Bereda,ES,2020-07-21 18:12:28,43.27,-7.54,64.0,85,12,15.99
99,Lebu,CL,2020-07-21 18:12:28,-37.62,-73.65,53.58,75,100,13.18
100,Vila Franca Do Campo,PT,2020-07-21 18:12:28,37.72,-25.43,71.6,68,40,9.17
101,Porto Novo,BJ,2020-07-21 18:12:28,6.5,2.6,80.6,83,20,12.75
102,Dikson,RU,2020-07-21 18:12:29,73.51,80.55,38.55,94,100,14.52
103,Hammerfest,NO,2020-07-21 18:12:29,70.66,23.68,50.0,100,75,10.29
104,Fare,PF,2020-07-21 18:12:29,-16.7,-151.02,77.58,81,69,25.17
105,Griffith,US,2020-07-21 18:08:30,41.53,-87.42,78.8,78,90,6.06
106,Victor Harbor,AU,2020-07-21 18:12:29,-35.57,138.62,48.99,89,69,1.59
