City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
73,turayf,SA,31.67,38.66,95.0,21,0,13.87,clear sky,0.0,0
74,maniitsoq,GL,65.42,-52.9,52.29,81,100,3.22,overcast clouds,0.0,0
75,mataura,NZ,-46.19,168.86,39.0,83,100,3.0,overcast clouds,0.0,0
76,kodiak,US,57.79,-152.41,68.0,56,1,6.93,clear sky,0.0,0
77,pevek,RU,69.7,170.31,48.96,60,100,6.15,overcast clouds,0.0,0
78,dingle,PH,11.0,122.67,76.01,89,90,3.44,overcast clouds,0.0,0
79,port-gentil,GA,-0.72,8.78,78.8,78,20,12.33,few clouds,0.0,0
80,norman wells,CA,65.28,-126.83,51.8,87,90,14.99,light rain,0.0,0
81,bredasdorp,ZA,-34.53,20.04,59.0,87,0,9.17,clear sky,0.0,0
82,bathsheba,BB,13.22,-59.52,89.6,59,40,20.8,scattered clouds,0.0,0
83,mogadishu,SO,2.04,45.34,77.18,80,26,20.67,light rain,0.24,0
84,chuy,UY,-33.7,-53.46,70.18,82,100,4.43,overcast clouds,0.0,0
85,warrnambool,AU,-38.38,142.48,46.99,96,100,10.78,overcast clouds,0.0,0
86,loubomo,CG,-4.2,12.67,74.26,65,0,5.21,clear sky,0.0,0
87,panino,RU,51.65,40.13,69.8,56,40,6.71,light intensity shower rain,0.0,0
88,fallon,US,39.47,-118.78,93.99,15,40,2.35,smoke,0.0,0
89,birjand,IR,32.87,59.22,80.6,12,0,4.7,clear sky,0.0,0
90,mar del plata,AR,-38.0,-57.56,52.0,93,90,17.22,mist,0.0,0
91,saint-philippe,RE,-21.36,55.77,64.4,88,90,6.93,overcast clouds,0.0,0
92,tual,ID,-5.67,132.75,78.57,86,97,18.59,overcast clouds,0.0,0
93,pacifica,US,37.61,-122.49,69.01,63,75,10.29,broken clouds,0.0,0
94,kochubey,RU,44.39,46.58,79.61,48,86,22.17,overcast clouds,0.0,0
95,maragogi,BR,-9.01,-35.22,77.13,73,1,10.56,clear sky,0.0,0
96,dikson,RU,73.51,80.55,38.41,94,100,14.2,overcast clouds,0.0,0
97,kahului,US,20.89,-156.47,80.6,65,40,9.17,light rain,0.25,0
98,ancud,CL,-41.87,-73.82,51.8,66,100,5.82,overcast clouds,0.0,0
99,bandrele,YT,-12.91,45.19,75.2,73,0,11.41,clear sky,0.0,0
100,cape town,ZA,-33.93,18.42,57.99,93,0,4.7,clear sky,0.0,0
101,altay,CN,47.87,88.12,61.97,75,100,0.76,overcast clouds,0.0,0
102,lavrentiya,RU,65.58,-171.0,45.48,74,90,2.48,overcast clouds,0.0,0
103,bintulu,MY,3.17,113.03,78.8,94,40,2.24,thunderstorm with rain,0.0,0
104,saint-georges,GD,12.06,-61.75,87.8,62,40,20.8,scattered clouds,0.0,0
105,georgetown,MY,5.41,100.34,77.0,100,40,3.36,scattered clouds,0.0,0
106,caraquet,CA,47.79,-64.94,79.0,44,1,12.75,clear sky,0.0,0
107,atuona,PF,-9.8,-139.03,79.52,76,7,18.61,clear sky,0.0,0
108,vardo,NO,70.37,31.11,57.2,87,44,5.82,scattered clouds,0.0,0
109,san patricio,MX,19.22,-104.7,91.4,70,5,9.17,clear sky,0.0,0
110,tura,IN,25.52,90.22,73.92,98,100,4.9,light rain,0.85,0
111,butaritari,KI,3.07,172.79,80.06,79,100,10.69,overcast clouds,0.0,0
112,touros,BR,-5.2,-35.46,78.8,83,40,11.41,scattered clouds,0.0,0
113,washougal,US,45.58,-122.35,77.0,56,1,8.05,clear sky,0.0,0
114,acarau,BR,-2.89,-40.12,83.68,64,86,12.57,overcast clouds,0.0,0
115,east london,ZA,-33.02,27.91,64.18,56,0,8.3,clear sky,0.0,0
116,koygorodok,RU,60.45,51.0,60.03,87,45,6.49,scattered clouds,0.0,0
117,arraial do cabo,BR,-22.97,-42.03,84.2,69,0,10.29,clear sky,0.0,0
118,thompson,CA,55.74,-97.86,78.8,41,75,9.17,broken clouds,0.0,0
119,half moon bay,US,37.46,-122.43,72.0,64,75,5.82,broken clouds,0.0,0
120,avera,US,33.19,-82.53,93.2,46,1,5.82,clear sky,0.0,0
121,ngunguru,NZ,-35.62,174.5,46.99,3,3,7.0,clear sky,0.0,0
122,virginia beach,US,36.85,-75.98,98.01,47,20,10.29,few clouds,0.0,0
123,dongying,CN,37.46,118.49,74.82,59,96,5.12,overcast clouds,0.0,0
124,cidreira,BR,-30.18,-50.21,72.46,69,100,2.66,overcast clouds,0.0,0
125,mount isa,AU,-20.73,139.5,60.8,31,0,12.75,clear sky,0.0,0
126,adrar,MR,20.5,-10.07,101.64,18,100,11.41,overcast clouds,0.0,0
127,luau,AO,-10.71,22.22,64.67,36,0,3.6,clear sky,0.0,0
128,tuktoyaktuk,CA,69.45,-133.04,41.0,80,90,4.7,overcast clouds,0.0,0
129,palauig,PH,15.44,119.9,81.48,74,95,3.04,overcast clouds,0.0,0
130,grindavik,IS,63.84,-22.43,51.8,62,75,5.82,broken clouds,0.0,0
131,egvekinot,RU,66.32,-179.17,46.69,65,99,3.04,overcast clouds,0.0,0
132,de-kastri,RU,51.47,140.78,58.68,95,100,6.69,moderate rain,1.38,0
133,ponnani,IN,10.77,75.93,78.8,83,40,2.24,scattered clouds,0.0,0
134,bethel,US,41.37,-73.41,88.0,45,20,6.93,few clouds,0.0,0
135,yueyang,CN,29.33,113.09,78.57,87,41,10.54,scattered clouds,0.0,0
136,bastrop,US,32.76,-91.87,89.6,59,40,4.7,scattered clouds,0.0,0
137,provideniya,RU,64.38,-173.3,46.69,78,95,3.53,overcast clouds,0.0,0
138,hambantota,LK,6.12,81.12,80.92,83,100,12.08,overcast clouds,0.0,0
139,santa helena,BR,-2.23,-45.3,82.24,79,93,3.27,light rain,0.73,0
140,baijiantan,CN,45.63,85.18,79.32,43,34,5.26,scattered clouds,0.0,0
141,faanui,PF,-16.48,-151.75,77.32,83,73,25.14,broken clouds,0.0,0
142,constitucion,CL,-35.33,-72.42,54.64,76,97,8.81,light rain,0.63,0
143,bousse,BF,12.66,-1.89,84.2,66,20,11.41,few clouds,0.0,0
144,lasa,IT,46.62,10.7,64.0,77,75,5.82,broken clouds,0.0,0
145,bilma,NE,18.69,12.92,96.24,20,3,9.71,clear sky,0.0,0
146,brandon,US,27.94,-82.29,91.99,55,40,14.99,scattered clouds,0.0,0
147,saldanha,ZA,-33.01,17.94,57.2,87,0,5.82,clear sky,0.0,0
148,riachao das neves,BR,-11.75,-44.91,88.0,29,58,7.81,broken clouds,0.0,0
149,sambava,MG,-14.27,50.17,68.61,78,0,15.43,clear sky,0.0,0
150,anadyr,RU,64.75,177.48,51.8,76,0,2.71,clear sky,0.0,0
151,laguna,US,38.42,-121.42,77.0,50,1,9.17,clear sky,0.0,0
152,rivera,UY,-30.91,-55.55,69.28,83,100,6.24,overcast clouds,0.0,0
153,miragoane,HT,18.44,-73.09,85.69,60,4,3.06,clear sky,0.0,0
154,tiznit,MA,29.58,-9.5,77.2,48,0,6.13,clear sky,0.0,0
155,zabaykalsk,RU,49.63,117.32,58.6,66,0,4.85,clear sky,0.0,0
156,nuuk,GL,64.18,-51.72,55.4,66,75,11.41,broken clouds,0.0,0
157,salamanca,ES,40.83,-6.0,81.0,32,57,9.17,light rain,0.57,0
158,kapaa,US,22.08,-159.32,80.6,78,75,12.75,light rain,0.51,0
